Time	Pred_PWRES	PWRES	Pred_IWRES_Mode	IWRES_Mode	Pred_NPDE	NPDE	
4	3.4722	-0.54523	2.5564	0.16352	3.4722	-0.41898
12	0.98819	-0.93281	0.50264	-0.36921	0.98819	-0.93754
24	0.46667	-1.1296	0.26508	-1.0158	0.46667	-1.1457
0.5	18.933	-0.67002	15.321	-0.66279	18.933	-0.61888
1	14.845	-0.057705	13.197	0.44138	14.845	0.093744
4	4.6114	1.3303	6.5198	0.51191	4.6114	1.3308
12	1.7555	1.4675	3.0847	0.62607	1.7555	1.4405
24	0.99826	1.051	1.834	0.14944	0.99826	1.0838
0.5	13.945	2.8376	28.195	1.2723	13.945	2.0579
1	11.814	1.4777	20.119	-0.59712	11.814	1.3695
4	5.0991	-0.15902	4.286	0.25475	5.0991	-0.052521
12	1.8942	-0.066471	1.8139	0.22769	1.8942	0.12404
24	1.0717	-0.32546	1.0863	-0.52698	1.0717	-0.12744
0.5	21.967	-0.32432	20.079	-0.13178	21.967	-0.15765
1	16.302	0.28938	16.723	0.23243	16.302	0.37864
4	4.1473	1.2961	6.1771	0.76959	4.1473	1.272
12	1.7089	-0.39583	1.6042	-0.39261	1.7089	-0.24254
24	0.96697	-0.063398	0.97099	0.29324	0.96697	0.13497
0.5	16.865	0.84651	24.145	-0.27929	16.865	0.88826
1	13.678	1.9364	19.741	0.97939	13.678	1.708
4	4.8731	1.119	6.2111	0.58965	4.8731	1.1183
12	1.8013	-1.1277	0.91678	-0.52899	1.8013	-1.0905
24	1.0246	-1.0337	0.55596	-0.84723	1.0246	-1.2269
0.5	15.653	-1.0433	9.4641	-0.25669	15.653	-1.2365
1	12.934	-0.9972	8.5469	-0.27551	12.934	-1.0696
4	4.9918	0.39084	5.0358	0.63805	4.9918	0.44748
12	1.8354	0.27612	2.2652	0.027372	1.8354	0.40896
24	1.0425	0.56223	1.2909	0.50348	1.0425	0.69069
0.5	17.463	-0.65243	15.633	-0.93162	17.463	-0.56015
1	12.639	0.088829	11.07	0.98436	12.639	0.17413
4	2.6779	-0.81289	1.9601	-0.53787	2.6779	-0.75065
12	0.88313	-0.56884	0.56486	-0.037582	0.88313	-0.55222
24	0.41894	0.0076398	0.27846	0.85422	0.41894	0.17896
0.5	14.693	0.34861	16.601	0.18621	14.693	0.53973
1	11.401	-0.10822	10.163	0.10205	11.401	0.03335
4	3.1739	-1.5533	1.1076	-0.94583	3.1739	-1.7642
12	0.93251	-0.52291	0.41975	0.66465	0.93251	-0.40662
24	0.44338	-0.49355	0.19198	0.099578	0.44338	-0.40279
0.5	13.335	0.70162	18.307	0.1467	13.335	0.85938
1	11.395	1.0053	15.534	0.1563	11.395	1.0312
4	5.1167	1.6697	7.1803	0.38953	5.1167	1.4787
12	1.9183	1.1938	3.5216	-0.21555	1.9183	1.1609
24	1.0834	2.1173	2.393	0.96401	1.0834	1.7605
0.5	14.275	-0.72591	10.846	-0.10777	14.275	-0.64443
1	12.036	-0.81833	9.7643	-0.88898	12.036	-0.75818
4	5.0847	1.2139	5.3547	1.7502	5.0847	1.1989
12	1.8818	-0.60208	1.5614	-0.69373	1.8818	-0.55934
24	1.0656	-0.71939	0.67657	-0.46202	1.0656	-0.74534
0.5	13.901	2.1861	25.1	0.88866	13.901	1.8539
