Scenario,Strat1,Strat2,Strat3,t,DV,ObsName
,0,0,0,24,6.32089,CObs
,0,0,0,36,5.58045,CObs
,0,0,0,48,3.14039,CObs
,0,0,0,72,2.19116,CObs
,0,0,0,96,1.06112,CObs
,0,0,0,120,1.0427,CObs
,0,0,0,3,12.0645,CObs
,0,0,0,6,10.9474,CObs
,0,0,0,9,10.1098,CObs
,0,0,0,12,11.0992,CObs
,0,0,0,24,10.2838,CObs
,0,0,0,36,6.93603,CObs
,0,0,0,48,5.28962,CObs
,0,0,0,72,4.4709,CObs
,0,0,0,96,3.72252,CObs
,0,0,0,3,5.19659,CObs
,0,0,0,6,8.5138,CObs
,0,0,0,9,10.0049,CObs
,0,0,0,12,9.49848,CObs
,0,0,0,24,6.8002,CObs
,0,0,0,36,5.78186,CObs
,0,0,0,48,4.1472,CObs
,0,0,0,72,2.74729,CObs
,0,0,0,96,2.28954,CObs
,0,0,0,120,1.33877,CObs
,0,0,0,1,0.062565,CObs
,0,0,0,2,3.6674,CObs
,0,0,0,3,6.0024,CObs
,0,0,0,6,9.35288,CObs
,0,0,0,9,8.94,CObs
,0,0,0,12,9.85571,CObs
,0,0,0,24,7.33009,CObs
,0,0,0,36,5.89401,CObs
,0,0,0,48,4.53503,CObs
,0,0,0,72,3.40622,CObs
,0,0,0,96,2.02139,CObs
,0,0,0,120,1.52995,CObs
,0,0,0,24,8.9016,CObs
,0,0,0,36,6.28194,CObs
,0,0,0,48,5.38635,CObs
,0,0,0,72,2.51068,CObs
,0,0,0,96,1.3743,CObs
,0,0,0,120,1.40802,CObs
,0,0,0,1.5,0.0610615,CObs
,0,0,0,3,7.6405,CObs
,0,0,0,6,10.6942,CObs
,0,0,0,12,11.2986,CObs
,0,0,0,24,9.28949,CObs
,0,0,0,36,8.65615,CObs
,0,0,0,48,6.9721,CObs
,0,0,0,72,5.19783,CObs
,0,0,0,96,4.01293,CObs
,0,0,0,120,2.65965,CObs
,0,0,0,3,10.4364,CObs
