"Scenario","Strat1","Strat2","Strat3","t","DV","ObsName","ModelName","PRED"
NA,0,0,0,1,0.867833,"CObs","d.True model
 Turnover PD",2.45001
NA,0,0,0,2,6.75436,"CObs","d.True model
 Turnover PD",25.3034
NA,0,0,0,3,9.69505,"CObs","d.True model
 Turnover PD",33.2879
NA,0,0,0,6,11.4281,"CObs","d.True model
 Turnover PD",42.7083
NA,0,0,0,9,12.6373,"CObs","d.True model
 Turnover PD",95.8316
NA,0,0,0,12,10.3805,"CObs","d.True model
 Turnover PD",1.44854
NA,0,0,0,24,7.042,"CObs","d.True model
 Turnover PD",8.90092
NA,0,0,0,36,4.5396,"CObs","d.True model
 Turnover PD",11.446
NA,0,0,0,48,3.84689,"CObs","d.True model
 Turnover PD",11.4448
NA,0,0,0,72,1.39221,"CObs","d.True model
 Turnover PD",8.94504
NA,0,0,0,24,6.9765,"CObs","d.True model
 Turnover PD",35.7932
NA,0,0,0,36,4.41938,"CObs","d.True model
 Turnover PD",7.26999
NA,0,0,0,48,4.4328,"CObs","d.True model
 Turnover PD",24.7904
NA,0,0,0,72,2.37329,"CObs","d.True model
 Turnover PD",5.90859
NA,0,0,0,96,1.1445,"CObs","d.True model
 Turnover PD",20.027
NA,0,0,0,120,0.62053,"CObs","d.True model
 Turnover PD",3.90286
NA,0,0,0,0.5,0.49987,"CObs","d.True model
 Turnover PD",19.5553
NA,0,0,0,2,3.82139,"CObs","d.True model
 Turnover PD",2.57799
NA,0,0,0,3,5.84172,"CObs","d.True model
 Turnover PD",24.5519
NA,0,0,0,6,9.85307,"CObs","d.True model
 Turnover PD",1.70287
NA,0,0,0,12,9.36828,"CObs","d.True model
 Turnover PD",32.1306
NA,0,0,0,24,8.8806,"CObs","d.True model
 Turnover PD",41.1495
NA,0,0,0,36,6.0008,"CObs","d.True model
 Turnover PD",95.8316
NA,0,0,0,48,6.41833,"CObs","d.True model
 Turnover PD",8.96897
NA,0,0,0,72,5.53202,"CObs","d.True model
 Turnover PD",35.7819
NA,0,0,0,96,3.81467,"CObs","d.True model
 Turnover PD",7.29799
NA,0,0,0,120,2.73682,"CObs","d.True model
 Turnover PD",24.7679
NA,0,0,0,3,6.38152,"CObs","d.True model
 Turnover PD",5.93829
NA,0,0,0,6,9.84243,"CObs","d.True model
 Turnover PD",19.9891
NA,0,0,0,9,12.1987,"CObs","d.True model
 Turnover PD",3.93168
NA,0,0,0,24,11.549,"CObs","d.True model
 Turnover PD",19.4732
NA,0,0,0,36,8.67497,"CObs","d.True model
 Turnover PD",2.60313
NA,0,0,0,48,7.88419,"CObs","d.True model
 Turnover PD",24.4082
NA,0,0,0,72,4.6553,"CObs","d.True model
 Turnover PD",1.72351
NA,0,0,0,96,3.42996,"CObs","d.True model
 Turnover PD",31.9132
NA,0,0,0,120,1.43037,"CObs","d.True model
 Turnover PD",95.8316
NA,0,0,0,3,9.37173,"CObs","d.True model
 Turnover PD",9.20682
NA,0,0,0,6,11.2881,"CObs","d.True model
 Turnover PD",35.6878
NA,0,0,0,9,13.227,"CObs","d.True model
 Turnover PD",7.6026
NA,0,0,0,12,13.2412,"CObs","d.True model
 Turnover PD",24.5493
