"Scenario","ID","IVAR","TAD","PRED","IPRED","DV","IRES","PREDSE","Weight","IWRES","WRES","CWRES","PCWRES","CdfPCWRES","CdfDV","TADSeq","ObsName","ResetSeq","ModelName"
NA,6,72,72,3.97141,4.44666,4.4709,0.0242374,NA,4.49303,0.0137654,0.414598,0.374626,0.53206,0.702658,0.636213,1,"CObs",0,"d.True model
 Turnover PD"
NA,6,72,72,19.3641,15.6134,14.279,-1.33436,NA,1,-0.357524,-0.882316,-0.86386,-1.03146,0.151163,0.200997,1,"EObs",0,"d.True model
 Turnover PD"
NA,6,96,96,2.6386,3.14969,3.7288,0.579108,NA,5.56615,0.366073,0.566429,0.554546,0.725022,0.765781,0.749169,1,"CObs",0,"d.True model
 Turnover PD"
NA,6,96,96,24.2113,18.7394,15.41,-3.32944,NA,1,-0.892076,-0.841691,-0.937965,-1.35292,0.0880399,0.141196,1,"EObs",0,"d.True model
 Turnover PD"
NA,6,120,120,31.6099,23.9188,25.406,1.48722,NA,1,0.398478,0.538304,0.452137,0.142047,0.556478,0.297342,1,"EObs",0,"d.True model
 Turnover PD"
NA,6,144,144,40.4478,30.3857,30.451,0.0653231,NA,1,0.0175024,-0.117847,-0.127394,-0.494062,0.310631,0.234219,1,"EObs",0,"d.True model
 Turnover PD"
NA,7,0,0,95.8316,101.875,106.72,4.84536,NA,1,1.29825,1.92171,1.88642,1.96139,0.975083,0.975083,1,"EObs",0,"d.True model
 Turnover PD"
NA,7,3,3,8.92837,5.33535,5.213,-0.12235,NA,3.83983,-0.0642376,-0.898692,-0.986953,-0.936847,0.174419,0.227575,1,"CObs",0,"d.True model
 Turnover PD"
NA,7,6,6,11.5325,8.81311,8.5575,-0.255606,NA,2.10646,-0.099398,-0.542964,-0.485688,-0.401968,0.343854,0.287375,1,"CObs",0,"d.True model
 Turnover PD"
NA,7,9,9,11.5915,9.53081,10.109,0.578194,NA,1.87945,0.212383,-0.217784,-0.180593,-0.00832776,0.496678,0.42691,1,"CObs",0,"d.True model
 Turnover PD"
NA,7,12,12,11.18,9.38044,9.6822,0.301755,NA,1.92424,0.112154,-0.274176,-0.324535,-0.158892,0.436877,0.343854,1,"CObs",0,"d.True model
 Turnover PD"
NA,7,24,24,9.31765,7.57283,7.0211,-0.551727,NA,2.58922,-0.23787,-0.647632,-0.798638,-0.703527,0.240864,0.197674,1,"CObs",0,"d.True model
 Turnover PD"
NA,7,24,24,35.6453,39.2016,35.732,-3.46961,NA,1,-0.929634,-0.519471,-0.494784,-1.06024,0.144518,0.410299,1,"EObs",0,"d.True model
 Turnover PD"
NA,7,36,36,7.74607,5.98603,6.0317,0.0456737,NA,3.41867,0.0226269,-0.475051,-0.560801,-0.321927,0.373754,0.290698,1,"CObs",0,"d.True model
 Turnover PD"
NA,7,36,36,24.4511,28.4299,27.163,-1.26693,NA,1,-0.339457,0.407851,0.501211,0.142047,0.556478,0.593023,1,"EObs",0,"d.True model
 Turnover PD"
NA,7,48,48,6.43953,4.73036,4.1472,-0.583165,NA,4.27522,-0.323074,-0.710221,-0.777063,-0.75791,0.224252,0.184385,1,"CObs",0,"d.True model
 Turnover PD"
NA,7,48,48,19.4188,24.7089,29.163,4.45411,NA,1,1.19342,1.74691,1.63519,1.85832,0.968439,0.905316,1,"EObs",0,"d.True model
 Turnover PD"
NA,7,72,72,4.45041,2.95395,2.7476,-0.206351,NA,5.73217,-0.132372,-0.311543,-0.259216,-0.0750193,0.4701,0.260797,1,"CObs",0,"d.True model
 Turnover PD"
NA,7,72,72,18.1658,27.223,27.879,0.656026,NA,1,0.175773,0.536641,0.102253,0.150464,0.559801,0.875415,1,"EObs",0,"d.True model
 Turnover PD"
NA,7,96,96,3.07571,1.84464,2.29,0.445359,NA,6.61069,0.306807,0.224581,0.247688,-0.133639,0.446844,0.357143,1,"CObs",0,"d.True model
 Turnover PD"
NA,7,96,96,22.0554,35.611,35.58,-0.0309651,NA,1,-0.00829667,0.33074,-0.0785678,0.339518,0.63289,0.878738,1,"EObs",0,"d.True model
 Turnover PD"
NA,7,120,120,2.12565,1.15191,1.3392,0.187285,NA,7.03089,0.133057,0.126712,0.0704914,-0.100099,0.460133,0.32392,1,"CObs",0,"d.True model
 Turnover PD"
NA,7,120,120,28.2741,46.4415,45.347,-1.0945,NA,1,-0.293256,0.0511491,-0.204238,0.0166561,0.506645,0.875415,1,"EObs",0,"d.True model
 Turnover PD"
NA,7,144,144,35.8687,57.961,58.528,0.567014,NA,1,0.151923,0.300119,0.266963,0.401968,0.656146,0.901993,1,"EObs",0,"d.True model
 Turnover PD"
NA,8,0,0,95.8316,94.1646,92.508,-1.65664,NA,1,-0.443873,-0.586583,-0.589795,-0.503493,0.307309,0.307309,1,"EObs",0,"d.True model
 Turnover PD"
NA,8,1,1,1.44931,0.0517119,0.062565,0.0108531,NA,7.32804,0.0078719,-0.366888,-0.311381,-0.640889,0.260797,0.260797,1,"CObs",0,"d.True model
 Turnover PD"
NA,8,2,2,6.23239,3.69173,3.6674,-0.0243319,NA,5.10703,-0.014733,-0.52995,-0.608462,-0.0583267,0.476744,0.333887,1,"CObs",0,"d.True model
 Turnover PD"
NA,8,3,3,8.89967,6.04487,6.0024,-0.0424747,NA,3.383,-0.0209321,-0.379729,-0.397128,-0.175782,0.430233,0.287375,1,"CObs",0,"d.True model
 Turnover PD"
NA,8,6,6,11.4295,9.03315,9.2916,0.258451,NA,2.03321,0.0987415,-0.347962,-0.293498,-0.184246,0.42691,0.357143,1,"CObs",0,"d.True model
 Turnover PD"
NA,8,9,9,11.4109,9.52277,8.94,-0.582767,NA,1.88181,-0.214197,-0.578096,-0.608632,-0.541679,0.29402,0.284053,1,"CObs",0,"d.True model
 Turnover PD"
NA,8,12,12,10.9277,9.29933,9.8501,0.550773,NA,1.94899,0.20602,-0.157473,-0.17222,-0.0917328,0.463455,0.393688,1,"CObs",0,"d.True model
 Turnover PD"
NA,8,24,24,8.84555,7.56696,7.3223,-0.244655,NA,2.59182,-0.105533,-0.41229,-0.47637,-0.383975,0.350498,0.310631,1,"CObs",0,"d.True model
 Turnover PD"
NA,8,24,24,35.8322,37.2813,40.392,3.11075,NA,1,0.833481,0.76171,0.735124,0.791639,0.785714,0.792359,1,"EObs",0,"d.True model
 Turnover PD"
NA,8,36,36,7.14168,6.07493,5.8839,-0.191031,NA,3.36494,-0.0938912,-0.326151,-0.370839,-0.420092,0.337209,0.300664,1,"CObs",0,"d.True model
 Turnover PD"
NA,8,36,36,24.8857,26.7114,22.891,-3.82041,NA,1,-1.02362,-1.01012,-1.00781,-1.10513,0.134551,0.313953,1,"EObs",0,"d.True model
 Turnover PD"
NA,8,48,48,5.76599,4.87649,4.5155,-0.360995,NA,4.16631,-0.197428,-0.391086,-0.43454,-0.287034,0.387043,0.327243,1,"CObs",0,"d.True model
 Turnover PD"
NA,8,48,48,20.2028,22.4033,21.701,-0.702342,NA,1,-0.188183,0.12745,0.144998,0.0583267,0.523256,0.526578,1,"EObs",0,"d.True model
 Turnover PD"
NA,8,72,72,3.75856,3.14224,3.3795,0.237259,NA,5.57248,0.150064,0.0324688,0.0294484,-0.0583267,0.476744,0.413621,1,"CObs",0,"d.True model
 Turnover PD"
