"grp","x","cens","y","cov","ty","PRED","ModelName"
4,48,0,-1.23186370873498,1,-1.23186370873498,20.2028,"d.True model
 Turnover PD"
5,72,0,0.476104403489395,1,0.476104403489395,19.9689,"d.True model
 Turnover PD"
6,96,0,0.173828812501662,1,0.173828812501662,25.3034,"d.True model
 Turnover PD"
7,120,0,-0.464904287509594,1,-0.464904287509594,33.2879,"d.True model
 Turnover PD"
8,144,0,-0.550465695020113,1,-0.550465695020113,42.7083,"d.True model
 Turnover PD"
1,0,0,-1.2107271327916,1,-1.2107271327916,95.8316,"d.True model
 Turnover PD"
2,24,0,0.852385797957575,1,0.852385797957575,35.7932,"d.True model
 Turnover PD"
3,36,0,0.658837692736188,1,0.658837692736188,24.7904,"d.True model
 Turnover PD"
4,48,0,0.294991988222626,1,0.294991988222626,20.027,"d.True model
 Turnover PD"
5,72,0,-0.0300840766201891,1,-0.0300840766201891,19.5553,"d.True model
 Turnover PD"
6,96,0,-0.0376082876612559,1,-0.0376082876612559,24.5519,"d.True model
 Turnover PD"
7,120,0,0.39072570019687,1,0.39072570019687,32.1306,"d.True model
 Turnover PD"
8,144,0,0.224973358313811,1,0.224973358313811,41.1495,"d.True model
 Turnover PD"
1,0,0,-1.62576338623323,1,-1.62576338623323,95.8316,"d.True model
 Turnover PD"
2,24,0,-0.398855065642337,1,-0.398855065642337,35.7819,"d.True model
 Turnover PD"
3,36,0,-0.276713636736747,1,-0.276713636736747,24.7679,"d.True model
 Turnover PD"
4,48,0,-0.00250663089957177,1,-0.00250663089957177,19.9891,"d.True model
 Turnover PD"
5,72,0,0.0853287948856292,1,0.0853287948856292,19.4732,"d.True model
 Turnover PD"
6,96,0,0.201893479141851,1,0.201893479141851,24.4082,"d.True model
 Turnover PD"
7,120,0,0.366489293889434,1,0.366489293889434,31.9132,"d.True model
 Turnover PD"
1,0,0,0.782365164855387,1,0.782365164855387,95.8316,"d.True model
 Turnover PD"
2,24,0,0.0551738021383168,1,0.0551738021383168,35.6878,"d.True model
 Turnover PD"
3,36,0,-0.171284585931507,1,-0.171284585931507,24.5493,"d.True model
 Turnover PD"
4,48,0,-1.64485362695147,1,-1.64485362695147,19.5949,"d.True model
 Turnover PD"
5,72,0,-0.484543782441079,1,-0.484543782441079,18.5671,"d.True model
 Turnover PD"
6,96,0,-0.624955903494687,1,-0.624955903494687,22.7757,"d.True model
 Turnover PD"
7,120,0,-1.52203624173586,1,-1.52203624173586,29.3914,"d.True model
 Turnover PD"
1,0,0,0.0828132919318813,1,0.0828132919318813,95.8316,"d.True model
 Turnover PD"
2,24,0,-1.64485362695147,1,-1.64485362695147,35.7039,"d.True model
 Turnover PD"
3,36,0,-0.166199440170359,1,-0.166199440170359,24.5836,"d.True model
 Turnover PD"
4,48,0,-1.25908398042707,1,-1.25908398042707,19.6543,"d.True model
 Turnover PD"
5,72,0,0.279319034447454,1,0.279319034447454,18.6988,"d.True model
 Turnover PD"
6,96,0,0.533048510902909,1,0.533048510902909,23.0093,"d.True model
 Turnover PD"
7,120,0,0.84519853528205,1,0.84519853528205,29.7505,"d.True model
 Turnover PD"
1,0,0,-0.674489750196082,1,-0.674489750196082,95.8316,"d.True model
 Turnover PD"
2,24,0,0.26890862445371,1,0.26890862445371,35.7546,"d.True model
 Turnover PD"
3,36,0,1.1076800921478,1,1.1076800921478,24.7008,"d.True model
 Turnover PD"
4,48,0,0.612812991016627,1,0.612812991016627,19.8651,"d.True model
 Turnover PD"
5,72,0,0.237846695417749,1,0.237846695417749,19.1821,"d.True model
 Turnover PD"
6,96,0,-0.371856089385075,1,-0.371856089385075,23.8792,"d.True model
 Turnover PD"
7,120,0,-0.696684917063051,1,-0.696684917063051,31.0947,"d.True model
 Turnover PD"
1,0,0,-1.35946274541826,1,-1.35946274541826,95.8316,"d.True model
 Turnover PD"
2,24,0,-0.579873392427704,1,-0.579873392427704,35.7762,"d.True model
 Turnover PD"
3,36,0,-0.668209299725723,1,-0.668209299725723,24.7547,"d.True model
 Turnover PD"
4,48,0,0.420664619637616,1,0.420664619637616,19.9652,"d.True model
 Turnover PD"
5,72,0,0.986271298702238,1,0.986271298702238,19.418,"d.True model
 Turnover PD"
6,96,0,1.32250513673844,1,1.32250513673844,24.3086,"d.True model
 Turnover PD"
7,120,0,1.53006758813783,1,1.53006758813783,31.7598,"d.True model
 Turnover PD"
1,0,0,0.107994569409154,1,0.107994569409154,95.8316,"d.True model
 Turnover PD"
2,24,0,1.95996398454005,1,1.95996398454005,35.76,"d.True model
 Turnover PD"
3,36,0,-0.199335898061207,1,-0.199335898061207,24.7168,"d.True model
 Turnover PD"
4,48,0,0.214701568001744,1,0.214701568001744,19.8967,"d.True model
 Turnover PD"
5,72,0,-0.227544976641149,1,-0.227544976641149,19.2599,"d.True model
 Turnover PD"
6,96,0,0.0752698620998299,1,0.0752698620998299,24.0233,"d.True model
 Turnover PD"
7,120,0,-0.0677307130042592,1,-0.0677307130042592,31.3202,"d.True model
 Turnover PD"
1,0,0,0.0752698620998299,1,0.0752698620998299,95.8316,"d.True model
 Turnover PD"
2,24,0,-1.11232136724931,1,-1.11232136724931,35.7819,"d.True model
 Turnover PD"
3,36,0,-1.07137688928021,1,-1.07137688928021,24.7679,"d.True model
 Turnover PD"
4,48,0,-1.8250068211464,1,-1.8250068211464,19.9891,"d.True model
 Turnover PD"
5,72,0,-1.99539331016782,1,-1.99539331016782,19.4732,"d.True model
 Turnover PD"
6,96,0,-2.6520698079022,1,-2.6520698079022,24.4082,"d.True model
 Turnover PD"
7,120,0,-2.40891554581546,1,-2.40891554581546,31.9132,"d.True model
 Turnover PD"
1,0,0,-0.478913734112256,1,-0.478913734112256,95.8316,"d.True model
 Turnover PD"
2,24,0,0.848786685915967,1,0.848786685915967,35.704,"d.True model
 Turnover PD"
3,36,0,0.755415026360469,1,0.755415026360469,24.5897,"d.True model
 Turnover PD"
4,48,0,-0.214701568001745,1,-0.214701568001745,19.6696,"d.True model
 Turnover PD"
5,72,0,-1.33462228670019,1,-1.33462228670019,18.7424,"d.True model
 Turnover PD"
6,96,0,0.173828812501662,1,0.173828812501662,23.0943,"d.True model
 Turnover PD"
