grp,x,cens,y,cov,ty,PRED,ModelName,PPRED,PWRES
5,72,0,0.253347103,1,0.253347103,18.6634,"d.True model
 Turnover PD",19.80120334,-1.072217496
6,96,0,0.369171363,1,0.369171363,22.9522,"d.True model
 Turnover PD",24.77349947,-0.076368174
7,120,0,-0.189118426,1,-0.189118426,29.6674,"d.True model
 Turnover PD",31.47325371,-0.961413865
8,144,0,-0.168741468,1,-0.168741468,37.7963,"d.True model
 Turnover PD",39.56893721,0.058174581
1,0,0,-1.353174155,1,-1.353174155,95.8316,"d.True model
 Turnover PD",95.9669134,-1.325917897
2,24,0,-0.201893479,1,-0.201893479,35.8322,"d.True model
 Turnover PD",36.6958918,0.01187226
3,36,0,0.032591937,1,0.032591937,24.8857,"d.True model
 Turnover PD",25.81874802,0.145348639
4,48,0,-1.231863709,1,-1.231863709,20.2028,"d.True model
 Turnover PD",21.03943343,-1.57554644
5,72,0,0.476104403,1,0.476104403,19.9689,"d.True model
 Turnover PD",21.24192301,1.291158672
6,96,0,0.173828813,1,0.173828813,25.3034,"d.True model
 Turnover PD",27.25699731,-0.223479831
7,120,0,-0.464904288,1,-0.464904288,33.2879,"d.True model
 Turnover PD",35.53088369,-1.573638816
8,144,0,-0.550465695,1,-0.550465695,42.7083,"d.True model
 Turnover PD",44.7779044,-0.9375183
1,0,0,-1.210727133,1,-1.210727133,95.8316,"d.True model
 Turnover PD",96.0656715,-1.236769644
2,24,0,0.852385798,1,0.852385798,35.7932,"d.True model
 Turnover PD",36.6479968,1.167399881
3,36,0,0.658837693,1,0.658837693,24.7904,"d.True model
 Turnover PD",26.03729174,0.10069796
4,48,0,0.294991988,1,0.294991988,20.027,"d.True model
 Turnover PD",21.16727269,-0.464634144
5,72,0,-0.030084077,1,-0.030084077,19.5553,"d.True model
 Turnover PD",21.19187462,-0.605601
6,96,0,-0.037608288,1,-0.037608288,24.5519,"d.True model
 Turnover PD",26.71240452,-0.224019955
7,120,0,0.3907257,1,0.3907257,32.1306,"d.True model
 Turnover PD",34.27216745,0.973552517
8,144,0,0.224973358,1,0.224973358,41.1495,"d.True model
 Turnover PD",43.12421925,0.155213579
1,0,0,-1.625763386,1,-1.625763386,95.8316,"d.True model
 Turnover PD",95.9916146,-1.570693859
2,24,0,-0.398855066,1,-0.398855066,35.7819,"d.True model
 Turnover PD",36.7241766,-0.106685899
3,36,0,-0.276713637,1,-0.276713637,24.7679,"d.True model
 Turnover PD",25.68450917,-0.142554671
4,48,0,-0.002506631,1,-0.002506631,19.9891,"d.True model
 Turnover PD",21.10595584,0.288157941
5,72,0,0.085328795,1,0.085328795,19.4732,"d.True model
 Turnover PD",20.87347007,0.049570026
6,96,0,0.201893479,1,0.201893479,24.4082,"d.True model
 Turnover PD",26.5028226,-0.070238888
7,120,0,0.366489294,1,0.366489294,31.9132,"d.True model
 Turnover PD",34.21487597,0.394159749
1,0,0,0.782365165,1,0.782365165,95.8316,"d.True model
 Turnover PD",96.0073254,0.83047353
2,24,0,0.055173802,1,0.055173802,35.6878,"d.True model
 Turnover PD",36.7189537,-0.129741857
3,36,0,-0.171284586,1,-0.171284586,24.5493,"d.True model
 Turnover PD",25.45162721,-0.393565225
4,48,0,-1.644853627,1,-1.644853627,19.5949,"d.True model
 Turnover PD",20.79734316,-1.88092235
5,72,0,-0.484543782,1,-0.484543782,18.5671,"d.True model
 Turnover PD",20.06418404,0.475108614
6,96,0,-0.624955903,1,-0.624955903,22.7757,"d.True model
 Turnover PD",24.51051725,-0.042767103
7,120,0,-1.522036242,1,-1.522036242,29.3914,"d.True model
 Turnover PD",31.67030557,-1.629276103
1,0,0,0.082813292,1,0.082813292,95.8316,"d.True model
 Turnover PD",96.019482,0.094736284
2,24,0,-1.644853627,1,-1.644853627,35.7039,"d.True model
 Turnover PD",36.7731116,-1.673515499
3,36,0,-0.16619944,1,-0.16619944,24.5836,"d.True model
 Turnover PD",25.60496234,1.085080291
4,48,0,-1.25908398,1,-1.25908398,19.6543,"d.True model
 Turnover PD",20.52354796,-0.94302655
5,72,0,0.279319034,1,0.279319034,18.6988,"d.True model
 Turnover PD",20.16147845,1.008673482
6,96,0,0.533048511,1,0.533048511,23.0093,"d.True model
 Turnover PD",25.19180618,0.674995269
7,120,0,0.845198535,1,0.845198535,29.7505,"d.True model
 Turnover PD",32.35058262,0.713345645
1,0,0,-0.67448975,1,-0.67448975,95.8316,"d.True model
 Turnover PD",96.2182426,-0.656043618
2,24,0,0.268908624,1,0.268908624,35.7546,"d.True model
 Turnover PD",36.6381325,0.431203637
3,36,0,1.107680092,1,1.107680092,24.7008,"d.True model
 Turnover PD",25.54480273,1.167550711
4,48,0,0.612812991,1,0.612812991,19.8651,"d.True model
 Turnover PD",20.95682539,-0.064373821
5,72,0,0.237846695,1,0.237846695,19.1821,"d.True model
 Turnover PD",20.73210088,-0.504641225
6,96,0,-0.371856089,1,-0.371856089,23.8792,"d.True model
 Turnover PD",25.88545154,-1.09455198
7,120,0,-0.696684917,1,-0.696684917,31.0947,"d.True model
 Turnover PD",33.20804287,-0.938786048
1,0,0,-1.359462745,1,-1.359462745,95.8316,"d.True model
 Turnover PD",95.8436033,-1.345069279
2,24,0,-0.579873392,1,-0.579873392,35.7762,"d.True model
 Turnover PD",36.5996687,-0.310075657
3,36,0,-0.6682093,1,-0.6682093,24.7547,"d.True model
 Turnover PD",25.57557012,-0.426641938
4,48,0,0.42066462,1,0.42066462,19.9652,"d.True model
 Turnover PD",20.98972649,0.955492831
5,72,0,0.986271299,1,0.986271299,19.418,"d.True model
 Turnover PD",20.69499309,1.102692215
6,96,0,1.322505137,1,1.322505137,24.3086,"d.True model
 Turnover PD",26.2242251,1.046003567
7,120,0,1.530067588,1,1.530067588,31.7598,"d.True model
 Turnover PD",33.57041525,0.697341941
1,0,0,0.107994569,1,0.107994569,95.8316,"d.True model
 Turnover PD",96.0499403,0.098666174
2,24,0,1.959963985,1,1.959963985,35.76,"d.True model
 Turnover PD",36.8206824,2.015468865
3,36,0,-0.199335898,1,-0.199335898,24.7168,"d.True model
 Turnover PD",25.8658634,-1.713707591
4,48,0,0.214701568,1,0.214701568,19.8967,"d.True model
 Turnover PD",21.00846626,-0.388310321
5,72,0,-0.227544977,1,-0.227544977,19.2599,"d.True model
 Turnover PD",20.94107144,-0.453996262
6,96,0,0.075269862,1,0.075269862,24.0233,"d.True model
 Turnover PD",25.92469447,0.310231231
7,120,0,-0.067730713,1,-0.067730713,31.3202,"d.True model
 Turnover PD",33.36908393,0.001736364
1,0,0,0.075269862,1,0.075269862,95.8316,"d.True model
 Turnover PD",96.0137512,0.08873657
2,24,0,-1.112321367,1,-1.112321367,35.7819,"d.True model
 Turnover PD",37.0421632,-1.182266231
3,36,0,-1.071376889,1,-1.071376889,24.7679,"d.True model
 Turnover PD",25.876242,-0.579138043
4,48,0,-1.825006821,1,-1.825006821,19.9891,"d.True model
 Turnover PD",21.18422494,-1.213346708
5,72,0,-1.99539331,1,-1.99539331,19.4732,"d.True model
 Turnover PD",21.11832227,-0.83697064
6,96,0,-2.652069808,1,-2.652069808,24.4082,"d.True model
 Turnover PD",26.68445696,-0.928292516
7,120,0,-2.408915546,1,-2.408915546,31.9132,"d.True model
 Turnover PD",34.48075048,-0.243479976
1,0,0,-0.478913734,1,-0.478913734,95.8316,"d.True model
 Turnover PD",95.7207461,-0.474239694
2,24,0,0.848786686,1,0.848786686,35.704,"d.True model
 Turnover PD",36.5617333,0.972559163
3,36,0,0.755415026,1,0.755415026,24.5897,"d.True model
 Turnover PD",25.2677156,0.36544759
4,48,0,-0.214701568,1,-0.214701568,19.6696,"d.True model
 Turnover PD",20.41065214,-1.031936827
5,72,0,-1.334622287,1,-1.334622287,18.7424,"d.True model
 Turnover PD",19.93265373,-1.754707864
6,96,0,0.173828813,1,0.173828813,23.0943,"d.True model
 Turnover PD",24.63747038,1.764041629
7,120,0,-0.820379146,1,-0.820379146,29.8875,"d.True model
 Turnover PD",31.94721138,-1.244825831
1,0,0,-1.446632067,1,-1.446632067,95.8316,"d.True model
 Turnover PD",95.9836115,-1.455860315
2,24,0,-0.900225986,1,-0.900225986,35.6957,"d.True model
 Turnover PD",36.6186688,-0.63363439
3,36,0,-3.090232306,1,-3.090232306,24.5648,"d.True model
 Turnover PD",25.277958,-2.662334962
4,48,0,-0.495850347,1,-0.495850347,19.6205,"d.True model
 Turnover PD",20.4176567,1.261937458
5,72,0,-0.934589291,1,-0.934589291,18.6215,"d.True model
 Turnover PD",19.76417006,-0.000161844
6,96,0,-0.683960672,1,-0.683960672,22.8705,"d.True model
 Turnover PD",24.34364478,0.092823782
7,120,0,-1.112321367,1,-1.112321367,29.5355,"d.True model
 Turnover PD",31.440413,-0.827086143
1,0,0,0.680796919,1,0.680796919,95.8316,"d.True model
 Turnover PD",95.9516647,0.678003497
2,24,0,-1.107680092,1,-1.107680092,35.7039,"d.True model
 Turnover PD",36.7163518,-1.262128747
3,36,0,-1.664562861,1,-1.664562861,24.5836,"d.True model
 Turnover PD",25.60128522,-1.200054238
4,48,0,-1.625763386,1,-1.625763386,19.6543,"d.True model
 Turnover PD",20.91476767,-0.791662358
5,72,0,-0.017547298,1,-0.017547298,18.6988,"d.True model
 Turnover PD",19.98096793,1.338883575
6,96,0,-0.585814766,1,-0.585814766,23.0093,"d.True model
 Turnover PD",24.69839203,-0.414417178
7,120,0,-0.735557557,1,-0.735557557,29.7505,"d.True model
 Turnover PD",31.70840279,-0.98485769
1,0,0,0.631061979,1,0.631061979,95.8316,"d.True model
 Turnover PD",95.8158668,0.628486883
2,24,0,0.658837693,1,0.658837693,35.6802,"d.True model
 Turnover PD",36.2468045,0.565688527
3,36,0,2.652069808,1,2.652069808,24.5316,"d.True model
 Turnover PD",25.25284124,3.087098981
4,48,0,2.257129244,1,2.257129244,19.5631,"d.True model
 Turnover PD",20.2470933,1.465307218
5,72,0,2.575829304,1,2.575829304,18.4944,"d.True model
 Turnover PD",19.2806038,1.704842648
6,96,0,3.090232306,1,3.090232306,22.6452,"d.True model
 Turnover PD",24.09750638,2.044686285
7,120,0,2.878161739,1,2.878161739,29.1891,"d.True model
 Turnover PD",30.87904905,0.230569709
1,0,0,1.372203809,1,1.372203809,95.8316,"d.True model
 Turnover PD",95.9978183,1.423156391
2,24,0,0.027576406,1,0.027576406,35.6802,"d.True model
 Turnover PD",36.5940516,-0.298195818
3,36,0,-0.067730713,1,-0.067730713,24.5316,"d.True model
 Turnover PD",25.26154641,-0.160400203
4,48,0,0.097914734,1,0.097914734,19.5631,"d.True model
 Turnover PD",20.67240778,0.127910874
5,72,0,-0.107994569,1,-0.107994569,18.4944,"d.True model
 Turnover PD",19.63392939,-0.320452345
6,96,0,-0.462113402,1,-0.462113402,22.6452,"d.True model
 Turnover PD",24.4324944,-0.681504535
7,120,0,0.382622075,1,0.382622075,29.1891,"d.True model
 Turnover PD",31.43560312,1.498304611
1,0,0,-0.515791557,1,-0.515791557,95.8316,"d.True model
 Turnover PD",96.0412925,-0.536660143
2,24,0,-0.434397242,1,-0.434397242,35.6802,"d.True model
 Turnover PD",36.4175182,-0.340272624
3,36,0,-1.185044128,1,-1.185044128,24.5316,"d.True model
 Turnover PD",25.51727057,-1.132136527
4,48,0,-1.580466818,1,-1.580466818,19.5631,"d.True model
 Turnover PD",20.60665332,-1.183847811
5,72,0,-1.461056269,1,-1.461056269,18.4944,"d.True model
 Turnover PD",19.81402524,-0.413816643
6,96,0,-1.116986728,1,-1.116986728,22.6452,"d.True model
 Turnover PD",24.60294349,0.373142712
7,120,0,-1.304685385,1,-1.304685385,29.1891,"d.True model
 Turnover PD",31.68131115,-0.344747101
1,0,0,-0.15857973,1,-0.15857973,95.8316,"d.True model
 Turnover PD",96.1289886,-0.145519416
2,24,0,0.212137198,1,0.212137198,35.6095,"d.True model
 Turnover PD",36.6349352,0.221764351
3,36,0,-0.201893479,1,-0.201893479,24.3689,"d.True model
 Turnover PD",25.3988956,-0.408108588
4,48,0,0.535940027,1,0.535940027,19.2718,"d.True model
 Turnover PD",20.30389255,0.795311185
5,72,0,-0.690308824,1,-0.690308824,17.8328,"d.True model
 Turnover PD",18.94027271,-1.047716863
6,96,0,-0.896473364,1,-0.896473364,21.4589,"d.True model
 Turnover PD",23.15989027,-0.829525331
7,120,0,-0.530161445,1,-0.530161445,27.3478,"d.True model
 Turnover PD",29.15817015,0.55531642
1,0,0,0.379926467,1,0.379926467,95.8316,"d.True model
 Turnover PD",95.8233021,0.331302796
2,24,0,0.199335898,1,0.199335898,35.7212,"d.True model
 Turnover PD",36.5955166,0.123047786
3,36,0,0.201893479,1,0.201893479,24.6267,"d.True model
 Turnover PD",25.67348785,0.071915152
4,48,0,-0.624955903,1,-0.624955903,19.7341,"d.True model
 Turnover PD",20.95903463,-1.007510687
5,72,0,1.049387085,1,1.049387085,18.8858,"d.True model
 Turnover PD",20.73861814,1.790661316
6,96,0,0.597760126,1,0.597760126,23.3492,"d.True model
 Turnover PD",25.71402362,-0.114961148
7,120,0,0.445442506,1,0.445442506,30.2791,"d.True model
 Turnover PD",33.41264544,-0.584252657
1,0,0,0.609791399,1,0.609791399,95.8316,"d.True model
 Turnover PD",95.6275523,0.58382755
2,24,0,0.245589523,1,0.245589523,35.6655,"d.True model
 Turnover PD",36.6245916,0.131208939
3,36,0,0.680796919,1,0.680796919,24.5004,"d.True model
 Turnover PD",25.3713457,0.636852713
4,48,0,-1.391743779,1,-1.391743779,19.5089,"d.True model
 Turnover PD",20.53559923,-2.060117163
5,72,0,-1.483280127,1,-1.483280127,18.3747,"d.True model
 Turnover PD",19.58758587,-1.206707868
6,96,0,-1.461056269,1,-1.461056269,22.4329,"d.True model
 Turnover PD",23.75776935,-0.03292783
7,120,0,0.022561568,1,0.022561568,28.8623,"d.True model
 Turnover PD",30.54992277,2.479267851
1,0,0,1.22652812,1,1.22652812,95.8316,"d.True model
 Turnover PD",95.9356006,1.227922124
2,24,0,1.607247892,1,1.607247892,35.76,"d.True model
 Turnover PD",36.6449374,1.436122547
3,36,0,1.866295743,1,1.866295743,24.7168,"d.True model
 Turnover PD",25.44561793,1.267387896
